Term Name,Label,Term IRI,Term version IRI,Modified,Definition,Type,Used,Note,Replacement
dwc:MachineObservation,Machine Observation,http://rs.tdwg.org/dwc/terms/MachineObservation,http://rs.tdwg.org/dwc/terms/version/MachineObservation-2018-09-06,2018-09-06,An output of a machine observation process.,Class,True,,http://rs.tdwg.org/dwc/dwctype/MachineObservation
dwc:MaterialCitation,Material Citation,http://rs.tdwg.org/dwc/terms/MaterialCitation,http://rs.tdwg.org/dwc/terms/version/MaterialCitation-2021-07-15,2021-07-15,"A reference to or citation of one, a part of, or multiple specimens in scholarly publications.",Class,True,,
dwc:MaterialSample,Material Sample,http://rs.tdwg.org/dwc/terms/MaterialSample,http://rs.tdwg.org/dwc/terms/version/MaterialSample-2018-09-06,2018-09-06,"A physical result of a sampling (or subsampling) event. In biological collections, the material sample is typically collected, and either preserved or destructively processed.",Class,True,,http://rs.tdwg.org/dwc/dwctype/MaterialSample
dwc:MeasurementOrFact,Measurement or Fact,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,http://rs.tdwg.org/dwc/terms/version/MeasurementOrFact-2023-06-28,2023-06-28,A measurement of or fact about an rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource).,Class,True,,http://rs.tdwg.org/dwc/terms/EventMeasurement
dwc:Occurrence,Occurrence,http://rs.tdwg.org/dwc/terms/Occurrence,http://rs.tdwg.org/dwc/terms/version/Occurrence-2023-06-28,2023-06-28,An existence of a dwc:Organism at a particular place at a particular time.,Class,True,,http://rs.tdwg.org/dwc/terms/Sample
dwc:OccurrenceMeasurement,Occurrence Measurement,http://rs.tdwg.org/dwc/terms/OccurrenceMeasurement,http://rs.tdwg.org/dwc/terms/version/OccurrenceMeasurement-2008-11-19,2009-10-09,The category of information pertaining to measurements accociated with an occurrence.,Class,False,This term is no longer recommended for use.,
dwc:Organism,Organism,http://rs.tdwg.org/dwc/terms/Organism,http://rs.tdwg.org/dwc/terms/version/Organism-2023-06-28,2023-06-28,A particular organism or defined group of organisms considered to be taxonomically homogeneous.,Class,True,,
dwc:PreservedSpecimen,Preserved Specimen,http://rs.tdwg.org/dwc/terms/PreservedSpecimen,http://rs.tdwg.org/dwc/terms/version/PreservedSpecimen-2018-09-06,2018-09-06,A specimen that has been preserved.,Class,True,,http://rs.tdwg.org/dwc/dwctype/PreservedSpecimen
dwc:PreviousIdentifications,Previous Identifications,http://rs.tdwg.org/dwc/terms/PreviousIdentifications,http://rs.tdwg.org/dwc/terms/version/PreviousIdentifications-2008-11-19,2009-04-24,A list (concatenated and separated) of previous ScientificNames to which the sample was identified.,Property,False,This term is no longer recommended for use.,
dwc:RelatedBasisOfRecord,Related Basis of Record,http://rs.tdwg.org/dwc/terms/RelatedBasisOfRecord,http://rs.tdwg.org/dwc/terms/version/RelatedBasisOfRecord-2008-11-19,2009-01-26,The nature of the related resource. Recommended best practice is to use the same controlled vocabulary as for basisOfRecord.,Property,False,This term is no longer recommended for use.,
dwc:ResourceRelationship,Resource Relationship,http://rs.tdwg.org/dwc/terms/ResourceRelationship,http://rs.tdwg.org/dwc/terms/version/ResourceRelationship-2023-06-28,2023-06-28,A relationship of one rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) to another.,Class,True,,
dwc:Sample,Sample,http://rs.tdwg.org/dwc/terms/Sample,http://rs.tdwg.org/dwc/terms/version/Sample-2008-11-19,2009-04-29,"Container class for information about the results of a sampling event (specimen, observation, etc.)",Class,False,This term is no longer recommended for use.,
dwc:SampleAttribute,Sample Attribute,http://rs.tdwg.org/dwc/terms/SampleAttribute,http://rs.tdwg.org/dwc/terms/version/SampleAttribute-2008-11-19,2009-04-29,Container class for information about attributes related to a given sample.,Class,False,This term is no longer recommended for use.,
dwc:SampleAttributeAccuracy,Sample Attribute Accuracy,http://rs.tdwg.org/dwc/terms/SampleAttributeAccuracy,http://rs.tdwg.org/dwc/terms/version/SampleAttributeAccuracy-2009-01-18,2009-04-29,The description of the error associated with the SampleAttributeValue.,Property,False,This term is no longer recommended for use.,
dwc:SampleAttributeDeterminedBy,Sample Attribute Determined By,http://rs.tdwg.org/dwc/terms/SampleAttributeDeterminedBy,http://rs.tdwg.org/dwc/terms/version/SampleAttributeDeterminedBy-2009-01-23,2009-04-29,The agent responsible for having determined the value of the measurement or characteristic of the sample.,Property,False,This term is no longer recommended for use.,
